team_id,position,goals_actual,assists_actual,yellow_cards_actual,red_cards_actual,minutes_actual,starting_eleven_actual,substituted_in_actual,on_bench_actual,suspended_actual,injured_actual,absence_actual,number_of_matches_actual,minutes_predicted,yellow_cards_predicted,red_cards_predicted,starting_eleven_predicted,substituted_in_predicted,on_bench_predicted,suspended_predicted,injured_predicted,absence_predicted,number_of_matches_predicted,goals_predicted,assists_predicted,minutes_error,yellow_cards_error,red_cards_error,goals_error,assists_error,starting_eleven_error,substituted_in_error,on_bench_error,suspended_error,injured_error,absence_error,number_of_matches_error
3699,Midfield,1.0,1.0,0.0,0.0,788.0,9.0,6.0,3.0,0.0,0.0,0.0,3,1096,3,0,12,5,8,0,0,0,5,1.0,1.0,-308.0,-3.0,0.0,0.0,0.0,-3.0,1.0,-5.0,0.0,0.0,0.0,-2
3382,Attack,0.0,1.0,2.0,0.0,1251.0,14.0,9.0,4.0,1.0,0.0,0.0,4,1402,2,0,15,8,9,0,0,0,5,5.0,3.0,-151.0,0.0,0.0,-5.0,-2.0,-1.0,1.0,-5.0,1.0,0.0,0.0,-1
3382,Defense,0.0,0.0,2.0,0.0,1348.0,15.0,1.0,10.0,0.0,6.0,0.0,4,1735,4,0,19,3,14,0,0,0,5,1.0,2.0,-387.0,-2.0,0.0,-1.0,-2.0,-4.0,-2.0,-4.0,0.0,6.0,0.0,-1
3382,Goalkeeper,,,0.0,0.0,360.0,4.0,0.0,8.0,0.0,0.0,0.0,4,365,0,0,4,0,8,0,0,0,5,,,-5.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-1
3382,Midfield,2.0,0.0,3.0,0.0,1002.0,11.0,5.0,12.0,0.0,0.0,0.0,4,1364,2,0,14,5,10,0,0,0,5,2.0,2.0,-362.0,1.0,0.0,0.0,-2.0,-3.0,0.0,2.0,0.0,0.0,0.0,-1
3503,Attack,3.0,2.0,1.0,0.0,1029.0,12.0,8.0,8.0,0.0,0.0,0.0,4,966,2,0,11,6,8,0,0,0,4,3.0,2.0,63.0,-1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0
3503,Defense,0.0,0.0,4.0,0.0,1581.0,16.0,4.0,12.0,0.0,0.0,0.0,4,1336,2,0,14,2,10,0,0,0,4,1.0,1.0,245.0,2.0,0.0,-1.0,-1.0,2.0,2.0,2.0,0.0,0.0,0.0,0
3503,Goalkeeper,,,0.0,0.0,390.0,4.0,0.0,8.0,0.0,0.0,0.0,4,321,0,0,3,0,7,0,0,0,4,,,69.0,0.0,0.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0
3503,Midfield,1.0,1.0,2.0,0.0,1293.0,12.0,8.0,12.0,0.0,0.0,0.0,4,1472,4,0,16,4,11,0,0,0,4,1.0,1.0,-179.0,-2.0,0.0,0.0,0.0,-4.0,4.0,1.0,0.0,0.0,0.0,0
3381,Attack,3.0,2.0,3.0,0.0,1343.0,15.0,10.0,18.0,0.0,2.0,0.0,5,1519,3,0,16,8,10,0,0,0,5,4.0,2.0,-176.0,0.0,0.0,-1.0,0.0,-1.0,2.0,8.0,0.0,2.0,0.0,0
3381,Defense,4.0,1.0,7.0,0.0,2164.0,24.0,5.0,8.0,3.0,0.0,0.0,5,1331,3,0,15,2,10,0,0,0,5,1.0,1.0,833.0,4.0,0.0,3.0,0.0,9.0,3.0,-2.0,3.0,0.0,0.0,0
3381,Goalkeeper,,,1.0,0.0,450.0,5.0,0.0,9.0,0.0,1.0,0.0,5,398,0,0,4,0,8,0,0,0,5,,,52.0,1.0,0.0,,,1.0,0.0,1.0,0.0,1.0,0.0,0
3381,Midfield,1.0,3.0,7.0,0.0,994.0,11.0,9.0,7.0,3.0,0.0,0.0,5,1244,3,0,13,5,9,0,0,0,5,2.0,2.0,-250.0,4.0,0.0,-1.0,1.0,-2.0,4.0,-2.0,3.0,0.0,0.0,0
3669,Attack,4.0,1.0,1.0,0.0,1021.0,11.0,9.0,12.0,0.0,0.0,0.0,4,1104,2,0,12,7,8,0,0,0,4,3.0,2.0,-83.0,-1.0,0.0,1.0,-1.0,-1.0,2.0,4.0,0.0,0.0,0.0,0
3669,Defense,0.0,1.0,3.0,0.0,1233.0,14.0,4.0,10.0,0.0,0.0,0.0,4,1017,3,0,11,3,9,0,0,0,4,1.0,1.0,216.0,0.0,0.0,-1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0
3669,Goalkeeper,,,0.0,0.0,360.0,4.0,0.0,7.0,1.0,0.0,0.0,4,339,0,0,4,0,6,0,0,0,4,,,21.0,0.0,0.0,,,0.0,0.0,1.0,1.0,0.0,0.0,0
3669,Midfield,0.0,2.0,3.0,0.0,1346.0,15.0,5.0,11.0,1.0,0.0,0.0,4,1012,3,0,11,4,9,0,0,0,4,1.0,1.0,334.0,0.0,0.0,-1.0,1.0,4.0,1.0,2.0,1.0,0.0,0.0,0
3300,Attack,1.0,1.0,5.0,0.0,1303.0,12.0,10.0,12.0,1.0,0.0,0.0,5,1512,2,0,16,9,10,0,0,0,5,5.0,3.0,-209.0,3.0,0.0,-4.0,-2.0,-4.0,1.0,2.0,1.0,0.0,0.0,0
3300,Defense,0.0,1.0,1.0,0.0,1628.0,16.0,7.0,12.0,0.0,0.0,0.0,5,1754,4,0,19,2,13,0,1,0,5,1.0,2.0,-126.0,-3.0,0.0,-1.0,-1.0,-3.0,5.0,-1.0,0.0,-1.0,0.0,0
3300,Goalkeeper,,,0.0,0.0,510.0,5.0,0.0,5.0,0.0,0.0,0.0,5,352,0,0,4,0,6,0,0,0,5,,,158.0,0.0,0.0,,,1.0,0.0,-1.0,0.0,0.0,0.0,0
3300,Midfield,2.0,0.0,3.0,0.0,1762.0,18.0,7.0,15.0,0.0,0.0,0.0,5,1720,3,0,19,7,12,0,0,0,5,3.0,3.0,42.0,0.0,0.0,-1.0,-3.0,-1.0,0.0,3.0,0.0,0.0,0.0,0
3445,Attack,1.0,0.0,1.0,1.0,575.0,7.0,7.0,7.0,0.0,0.0,0.0,3,1074,2,0,11,7,8,0,0,0,4,4.0,3.0,-499.0,-1.0,1.0,-3.0,-3.0,-4.0,0.0,-1.0,0.0,0.0,0.0,-1
3445,Defense,0.0,2.0,4.0,0.0,1242.0,14.0,0.0,10.0,0.0,0.0,0.0,3,1365,3,0,15,3,11,0,0,0,4,1.0,1.0,-123.0,1.0,0.0,-1.0,1.0,-1.0,-3.0,-1.0,0.0,0.0,0.0,-1
3445,Goalkeeper,,,0.0,0.0,270.0,3.0,1.0,5.0,0.0,0.0,0.0,3,334,0,0,4,0,6,0,0,0,4,,,-64.0,0.0,0.0,,,-1.0,1.0,-1.0,0.0,0.0,0.0,-1
3445,Midfield,2.0,1.0,5.0,0.0,814.0,9.0,7.0,8.0,0.0,0.0,0.0,3,1204,3,0,13,6,9,0,0,0,4,2.0,2.0,-390.0,2.0,0.0,0.0,-1.0,-4.0,1.0,-1.0,0.0,0.0,0.0,-1
